msg size, 		time [s],				time [ms],				time [us],				time [ns],				tp [mbit/s]
1,              0.000002,               0.002328,               2.327552,               2327.552065,            3.277862
2,              0.000001,               0.000726,               0.725687,               725.686550,             21.026694
4,              0.000001,               0.000694,               0.693761,               693.760812,             43.988616
8,              0.000001,               0.000739,               0.738818,               738.818198,             82.611874
16,             0.000001,               0.000699,               0.699032,               699.032098,             174.627621
32,             0.000001,               0.000727,               0.726804,               726.804137,             335.909790
64,             0.000001,               0.000699,               0.699246,               699.246302,             698.296506
128,            0.000001,               0.000812,               0.811843,               811.843202,             1202.895458
256,            0.000001,               0.000735,               0.735139,               735.139474,             2656.808767
512,            0.000001,               0.000758,               0.757687,               757.686794,             5155.494370
1024,           0.000001,               0.000824,               0.824388,               824.388117,             9476.725638
2048,           0.000001,               0.000994,               0.993619,               993.618742,             15725.347505
4096,           0.000005,               0.005242,               5.241996,               5241.995677,            5961.470006
8192,           0.000006,               0.005820,               5.820207,               5820.207298,            10738.449131
16384,          0.000010,               0.009972,               9.972397,               9972.397238,            12534.598955
32768,          0.000018,               0.017575,               17.574579,              17574.578524,           14225.092207
65536,          0.000013,               0.013380,               13.379557,              13379.557058,           37370.444913
131072,         0.000019,               0.018822,               18.821992,              18821.991980,           53129.339395
262144,         0.000039,               0.039182,               39.181560,              39181.560278,           51044.419513
524288,         0.000070,               0.070425,               70.425067,              70425.067097,           56797.957956
1048576,        0.000135,               0.135260,               135.260103,             135260.103270,          59145.304540
2097152,        0.000265,               0.264987,               264.987005,             264987.004921,          60380.319423
4194304,        0.000530,               0.529812,               529.811624,             529811.624438,          60398.825779
8388608,        0.001089,               1.088732,               1088.732220,            1088732.220232,         58783.968005
16777216,       0.002253,               2.252920,               2252.920195,            2252920.195460,         56815.150514
33554432,       0.005284,               5.283554,               5283.554299,            5283554.298803,         48452.232252
67108864,       0.010661,               10.660626,              10660.625938,           10660625.938326,        48027.198681
134217728,      0.021284,               21.284086,              21284.085969,           21284085.968509,        48111.062956
268435456,      0.042313,               42.313458,              42313.458221,           42313458.221033,        48400.676430
536870912,      0.084577,               84.576944,              84576.943805,           84576943.805441,        48429.274170
