msg size, 		time [s],				time [ms],				time [us],				time [ns],				tp [mbit/s]
1,              0.980613,               980.613098,             980613.098321,          980613098.321483,               0.000008
2,              0.980611,               980.610579,             980610.579187,          980610579.187050,               0.000016
4,              0.980610,               980.610377,             980610.377230,          980610377.229750,               0.000031
8,              0.980610,               980.610401,             980610.400941,          980610400.941223,               0.000062
16,             0.980611,               980.611452,             980611.451818,          980611451.817676,               0.000124
32,             0.980612,               980.612265,             980612.264806,          980612264.806405,               0.000249
64,             0.980611,               980.611277,             980611.277055,          980611277.054995,               0.000498
128,            0.980612,               980.612251,             980612.251088,          980612251.088023,               0.000996
256,            0.980610,               980.610158,             980610.158239,          980610158.238560,               0.001992
512,            0.980611,               980.610864,             980610.863864,          980610863.864422,               0.003983
1024,           0.980618,               980.617658,             980617.658403,          980617658.402771,               0.007967
2048,           0.980624,               980.624006,             980624.005795,          980624005.794525,               0.015934
4096,           0.980625,               980.624771,             980624.771286,          980624771.285802,               0.031867
8192,           0.980641,               980.640578,             980640.578093,          980640578.093007,               0.063734
16384,          0.980644,               980.644087,             980644.087279,          980644087.279215,               0.127467
32768,          0.980659,               980.659075,             980659.075109,          980659075.109288,               0.254931
65536,          0.980688,               980.687602,             980687.602218,          980687602.218240,               0.509846
131072,         0.980828,               980.827824,             980827.824352,          980827824.352309,               1.019547
262144,         0.980950,               980.950282,             980950.281844,          980950281.843543,               2.038839
524288,         0.981212,               981.212129,             981212.128801,          981212128.801271,               4.076590
1048576,        0.981724,               981.724133,             981724.132746,          981724132.746458,               8.148929
2097152,        0.993246,               993.246094,             993246.094417,          993246094.416827,               16.108797
4194304,        0.984824,               984.823620,             984823.620301,          984823620.300740,               32.493128
8388608,        1.000029,               1000.029159,            1000029.158834,         1000029158.834368,              63.998134
16777216,       1.023288,               1023.288500,            1023288.499629,         1023288499.629125,              125.086913
33554432,       1.060568,               1060.567905,            1060567.905158,         1060567905.157804,              241.380112
67108864,       1.140138,               1140.137997,            1140137.997335,         1140137997.334823,              449.068447
134217728,      1.298073,               1298.072698,            1298072.698470,         1298072698.470205,              788.861827
268435456,      1.600229,               1600.228872,            1600228.872132,         1600228872.131556,              1279.816928
536870912,      2.226988,               2226.987545,            2226987.544661,         2226987544.661388,              1839.255909
