Problem Size        ,Thread Count        ,Schedule Type       ,Time Taken (Mean) [s],Time Taken STD [s]
128                 ,1                   ,static              ,1.3767e-05          ,5.6874e-05
128                 ,1                   ,static[1]           ,8.188e-06           ,1.19351e-06
128                 ,1                   ,static[2]           ,8.073e-06           ,8.37956e-07
128                 ,1                   ,static[4]           ,8.103e-06           ,6.49377e-07
128                 ,1                   ,static[8]           ,8.182e-06           ,1.14668e-06
128                 ,1                   ,static[16]          ,7.886e-06           ,1.4905e-06
128                 ,1                   ,static[32]          ,7.725e-06           ,7.271e-07
128                 ,1                   ,static[64]          ,7.812e-06           ,8.39438e-07
128                 ,1                   ,static[128]         ,7.698e-06           ,6.27372e-07
128                 ,1                   ,dynamic             ,1.5108e-05          ,6.38654e-06
128                 ,1                   ,dynamic[1]          ,1.2774e-05          ,1.21026e-06
128                 ,1                   ,dynamic[2]          ,1.027e-05           ,8.06288e-07
128                 ,1                   ,dynamic[4]          ,9.055e-06           ,7.36529e-07
128                 ,1                   ,dynamic[8]          ,8.401e-06           ,5.34321e-07
128                 ,1                   ,dynamic[16]         ,8.122e-06           ,4.76567e-07
128                 ,1                   ,dynamic[32]         ,7.984e-06           ,5.8749e-07
128                 ,1                   ,dynamic[64]         ,8.046e-06           ,1.05465e-06
128                 ,1                   ,dynamic[128]        ,7.942e-06           ,6.7826e-07
128                 ,1                   ,guided              ,8.057e-06           ,1.12145e-06
128                 ,1                   ,guided[1]           ,7.998e-06           ,1.07322e-06
128                 ,1                   ,guided[2]           ,7.947e-06           ,1.61644e-06
128                 ,1                   ,guided[4]           ,7.801e-06           ,5.50726e-07
128                 ,1                   ,guided[8]           ,8.476e-06           ,3.2881e-06
128                 ,1                   ,guided[16]          ,7.791e-06           ,6.35153e-07
128                 ,1                   ,guided[32]          ,7.808e-06           ,6.08881e-07
128                 ,1                   ,guided[64]          ,7.938e-06           ,1.10678e-06
128                 ,1                   ,guided[128]         ,7.933e-06           ,1.35167e-06
128                 ,1                   ,auto                ,7.575e-06           ,4.82778e-07
128                 ,1                   ,runtime             ,1.3364e-05          ,5.99253e-07
128                 ,2                   ,static              ,5.1668e-05          ,5.83771e-05
128                 ,2                   ,static[1]           ,4.802e-05           ,9.44614e-06
128                 ,2                   ,static[2]           ,4.6546e-05          ,5.39912e-06
128                 ,2                   ,static[4]           ,6.2241e-05          ,2.51521e-05
128                 ,2                   ,static[8]           ,4.8893e-05          ,4.95145e-06
128                 ,2                   ,static[16]          ,5.1801e-05          ,9.05833e-06
128                 ,2                   ,static[32]          ,6.7038e-05          ,2.73188e-05
128                 ,2                   ,static[64]          ,6.2696e-05          ,2.20348e-05
128                 ,2                   ,static[128]         ,6.0959e-05          ,1.42244e-05
128                 ,2                   ,dynamic             ,8.0692e-05          ,2.58981e-05
128                 ,2                   ,dynamic[1]          ,6.268e-05           ,1.7574e-05
128                 ,2                   ,dynamic[2]          ,4.8357e-05          ,6.26422e-06
