                          length,                      num_threads,              desired bucket size,          final bucket size coeff,            total length schedule,           buckets count schedule,                allocation preset,                algorithm version,                      bucket type,                      time (mean),                       time (std)
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          7.37734,                          3.31308
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          8.93915,                         0.280317
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          9.52787,                         0.959937
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          6.19956,                         0.179179
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          11.3571,                           2.6652
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          11.8898,                          5.44044
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          8.12481,                          2.07328
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          9.23852,                         0.741601
                          131072,                                4,                               32,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          8.83995,                         0.344394
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          6.14744,                         0.437603
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          4.31463,                         0.295701
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          8.08963,                         0.595748
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          7.79587,                         0.485167
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          6.41724,                          2.75686
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,            fixed size (lockfree),                          4.07215,                          0.55689
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          6.76342,                         0.483029
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          7.50759,                         0.321163
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                           5.0674,                         0.153404
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,            fixed size (lockfree),                           3.9874,                          0.32407
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                          7.40426,                         0.840883
                          131072,                                4,                               32,                                3,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          7.45566,                         0.500451
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          3.92401,                         0.239878
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          5.37389,                         0.151119
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          3.68222,                         0.362386
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                          3.70847,                        0.0463323
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                2,         variable size (lockfull),                          5.56287,                         0.458275
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                disjoint prealloc,                                3,                    variable size,                          3.30716,                         0.130606
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                1,                    variable size,                          3.71161,                        0.0714116
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                2,         variable size (lockfull),                           5.3844,                         0.330224
                          131072,                                4,                              512,                                2,                      guided[128],                       guided[16],                   joint prealloc,                                3,                    variable size,                          3.42501,                        0.0773172
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                1,                    variable size,                          3.72037,                        0.0682774
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,            fixed size (lockfree),                          4.17161,                         0.523663
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                2,         variable size (lockfull),                          5.80003,                         0.489281
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                    direct malloc,                                3,                    variable size,                          3.53337,                         0.147263
                          131072,                                4,                              512,                                3,                      guided[128],                       guided[16],                disjoint prealloc,                                1,                    variable size,                           3.6947,                        0.0237032
