size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.103, 2.533184,254.500839, 254.500824
131072, 0.111, 4.734363,508.673553, 508.673523
262144, 0.144, 7.280059,1018.964294, 1018.964294
524288, 0.216, 9.714704,2038.795898, 2038.795898
1048576, 0.384, 10.909030,4077.060547, 4077.060547
2097152, 1.183, 7.089866,8158.667969, 8158.667969
4194304, 2.348, 7.144978,16321.664062, 16321.664062
8388608, 4.939, 6.793393,32639.054688, 32639.054688
16777216, 10.234, 6.557745,65281.992188, 65281.992188
33554432, 21.526, 6.235105,130563.984375, 130563.984375
67108864, 45.180, 5.941504,261127.968750, 261255.187500
134217728, 94.340, 5.690802,522255.937500, 522303.875000
