size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.018, 14.234580,254.500839, 254.500824
131072, 0.027, 19.782963,508.673553, 508.673523
262144, 0.032, 33.183834,1018.964294, 1018.964294
524288, 0.048, 43.404018,2038.795898, 2038.795898
1048576, 0.104, 40.241623,4077.060547, 4077.060547
2097152, 0.182, 46.212372,8158.667969, 8158.667969
4194304, 0.358, 46.918510,16321.664062, 16321.664062
8388608, 0.694, 48.379299,32639.054688, 32639.054688
16777216, 1.428, 46.980824,65281.992188, 65281.992188
33554432, 2.301, 58.337830,130563.984375, 130563.984375
67108864, 4.480, 59.916103,261127.968750, 261127.968750
134217728, 9.006, 59.613956,522255.937500, 522255.937500
