size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.076, 3.427615,254.500839, 254.500824
131072, 0.075, 7.005452,508.673553, 508.673523
262144, 0.112, 9.384069,1018.964294, 1018.964294
524288, 0.102, 20.512051,2038.795898, 2038.795898
1048576, 0.125, 33.683777,4077.060547, 4077.060547
2097152, 0.203, 41.241932,8158.667969, 8158.667969
4194304, 0.349, 48.113613,16321.664062, 16321.664062
8388608, 0.641, 52.338844,32639.054688, 32639.054688
16777216, 1.234, 54.367336,65281.992188, 65281.992188
33554432, 2.420, 55.455917,130563.984375, 130563.984375
67108864, 4.777, 56.197311,261127.968750, 261127.968750
134217728, 9.844, 54.538658,522255.937500, 522255.937500
