size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.166, 1.583129,254.500839, 254.500259
131072, 0.295, 1.778731,508.673553, 508.665222
262144, 0.595, 1.763009,1018.964294, 1020.924805
524288, 1.048, 2.000149,2038.795898, 2044.727173
1048576, 1.734, 2.418413,4077.060547, 4090.931152
2097152, 3.585, 2.340032,8158.667969, 8188.411621
4194304, 7.030, 2.386627,16321.664062, 16383.160156
8388608, 14.036, 2.390680,32639.054688, 32764.128906
16777216, 28.026, 2.394554,65281.992188, 65534.113281
33554432, 55.239, 2.429748,130563.984375, 131069.734375
67108864, 110.887, 2.420798,261127.968750, 131072.000000
134217728, 222.349, 2.414539,522255.937500, 131072.000000
