size, time [msec], bandwidth [GB/s], hvalue, dvalue
65536, 0.011, 23.729881,254.500839, 254.505020
131072, 0.011, 48.397305,508.673553, 508.674133
262144, 0.013, 82.035362,1018.964294, 1018.970032
524288, 0.021, 101.135796,2038.795898, 2038.806152
1048576, 0.038, 111.207542,4077.060547, 4077.056885
2097152, 0.082, 102.230278,8158.667969, 8158.666992
4194304, 0.144, 116.605621,16321.664062, 16321.668945
8388608, 0.268, 124.983444,32639.054688, 32639.072266
16777216, 0.537, 125.040039,65281.992188, 65282.027344
33554432, 1.011, 132.782471,130563.984375, 130563.992188
67108864, 2.051, 130.853104,261127.968750, 261128.125000
134217728, 4.142, 129.611053,522255.937500, 522256.312500
