size, bin_count, naive [ms], simple [ms]
65536,10,0.476600,0.387900
65536,50,0.398200,0.372200
65536,100,0.341600,0.355100
65536,500,0.302700,0.350100
65536,1000,0.324000,0.294600
131072,10,0.347100,0.374900
131072,50,0.440100,0.448000
131072,100,0.366900,0.399100
131072,500,0.352000,0.627400
131072,1000,0.437200,0.383800
262144,10,0.398700,0.615800
262144,50,0.492800,0.610900
262144,100,0.433300,2.329500
262144,500,0.569800,0.489700
262144,1000,0.505000,0.707700
524288,10,0.623000,0.816400
524288,50,0.669300,0.816500
524288,100,0.667100,0.813400
524288,500,0.699500,0.793900
524288,1000,0.748700,0.575600
1048576,10,1.070400,1.409200
1048576,50,1.065100,1.256600
1048576,100,0.998800,1.258100
1048576,500,1.163700,1.274600
1048576,1000,1.163400,1.036900
2097152,10,2.431300,2.461600
2097152,50,1.746300,2.403800
2097152,100,2.084000,2.497800
2097152,500,2.067900,2.121200
2097152,1000,2.240600,1.809500
4194304,10,3.125100,5.057200
4194304,50,3.487100,4.588700
4194304,100,3.283400,4.714800
4194304,500,3.457600,3.850100
4194304,1000,3.763900,3.655700
8388608,10,6.160200,10.653800
8388608,50,6.269600,9.272000
8388608,100,6.173400,8.955600
8388608,500,6.757500,8.987000
8388608,1000,7.077300,7.464600
16777216,10,12.058100,19.853500
16777216,50,12.308600,17.575800
16777216,100,12.328000,18.464300
16777216,500,12.695100,16.259000
16777216,1000,13.826100,13.867200
33554432,10,23.849900,38.359400
33554432,50,23.775900,35.436200
33554432,100,24.486500,33.891000
33554432,500,25.327400,31.725600
33554432,1000,30.625300,26.596200
67108864,10,43.549600,76.572500
67108864,50,46.452800,62.686000
67108864,100,45.388800,69.098100
67108864,500,50.408800,61.776800
67108864,1000,58.619200,53.474800
134217728,10,87.477300,151.671500
134217728,50,91.140900,134.785000
134217728,100,92.484400,131.602300
134217728,500,96.903700,132.165600
134217728,1000,111.662400,103.152700
